method,alpha,num_samples,mean_angle_error,median_angle_error,max_angle_error,failure_rate_error_gt_1deg,failure_rate_error_gt_3deg,mean_angle_error_mod180,failure_rate_mod180_error_gt_3deg,mean_psnr_anchor,mean_psnr_anchor_finite,median_psnr_anchor,num_inf_psnr_anchor,mean_ssim_anchor,median_ssim_anchor,mean_psnr_clean,mean_psnr_clean_finite,median_psnr_clean,num_inf_psnr_clean,mean_ssim_clean,median_ssim_clean,mean_runtime_ms,selected_angle_sign
two_pair,0.12,10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,45.553022724157024,45.553022724157024,45.59020323626282,0,0.9995196157232924,0.9995213149694717,12.122562147021466,12.122562147021466,12.084050696130122,0,-0.013781029672585866,-0.011183617224756845,1415.7379362732172,raw
two_pair,0.15,10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,43.61498185420431,43.61498185420431,43.65216832690347,0,0.9992496410988521,0.9992523306324996,12.118587533041733,12.118587533041733,12.08033586410198,0,-0.013748398130010669,-0.01111940212378505,1410.7950372621417,raw
two_pair,0.18,10,1.0,1.0,1.0,0.0,0.0,1.0,0.0,42.031490766779626,42.031490766779626,42.06869806155446,0,0.9989198933769483,0.9989238104959245,12.113610867480668,12.113610867480668,12.075668919401714,0,-0.013704276310585494,-0.011038951908954665,1391.1138420924544,raw
