image_id,image_path,alpha,attack_rotation_backend,attack_rotation_interpolation,attack_rotation_fill,correction_rotation_backend,correction_rotation_interpolation,correction_rotation_fill,rotation_gt_deg,rotation_gt_mod180_deg,rotation_hat_deg,rotation_hat_display_deg,rotation_error_deg,corr_shift_deg,corr_shift_display_deg,corr_shift_full_deg,corr_shift_full_deg_int,peak_refine_delta,corr_period_deg,best_score,top2_score,corr_margin,ambiguity_resolved,candidate_score_0,candidate_score_180,diff_corr_shift_deg,diff_rotation_hat_deg,diff_rotation_error_deg,diff_rot_corr_shift_deg,diff_rot_rotation_hat_deg,diff_rot_rotation_error_deg,theta_gt,raw_theta_shift,theta_attack_hat,theta_hat_raw,theta_hat,angle_sign,angle_error,angle_error_mod180,diff_theta_hat,diff_angle_error,diff_best_score,diff_corr_margin,diff_rot_theta_shift,diff_rot_attack_hat,diff_rot_attack_error,diff_rot_theta_hat,diff_rot_angle_error,diff_rot_best_score,diff_rot_corr_margin,psnr_anchor,ssim_anchor,psnr_clean,ssim_clean,vae_mse_anchor,vae_mse_clean,vae_mse_symmetric,vae_mse_clean_canonical,vae_mse_clean_predcorr,vae_mse_clean_oraclecorr,vae_mse_symmetric_canonical,vae_mse_symmetric_predcorr,vae_mse_symmetric_oraclecorr,vae_mse_roundtrip_oracle,vae_mse_anchor_removed_extra,vae_raw_mse_anchor,vae_raw_mse_clean_canonical,vae_raw_mse_clean_predcorr,vae_raw_mse_clean_oraclecorr,vae_raw_mse_roundtrip_oracle,vae_rel_mse_anchor,vae_rel_mse_clean_canonical,vae_rel_mse_clean_predcorr,vae_rel_mse_clean_oraclecorr,vae_rel_mse_roundtrip_oracle,vae_rel_mse_anchor_removed_extra,vae_cos_anchor,vae_cos_clean,vae_cos_symmetric,vae_cos_clean_canonical,vae_cos_clean_predcorr,vae_cos_clean_oraclecorr,vae_cos_symmetric_canonical,vae_cos_symmetric_predcorr,vae_cos_symmetric_oraclecorr,vae_cos_roundtrip_oracle,runtime_ms
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,5.0,5.0,4.948787771357644,4.948787771357644,0.051212228642356195,175.05121222864236,-4.948787771357615,175.05121222864236,175.0,0.05121222864235063,180.0,169.93801879882812,169.93801879882812,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,174.990294815219,5.009705184781012,0.009705184781012122,5.0,175.05121222864236,4.948787771357644,175.05121222864236,4.948787771357644,raw,0.051212228642356195,0.051212228642356195,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,174.990294815219,5.009705184781012,0.009705184781012122,5.009705184781012,0.009705184781012122,335.9114685058594,0.0,46.8321042950256,0.9996670598472885,21.69696921741235,0.902899882160277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3749.4459189474583
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,10.0,10.0,10.022636140923368,10.022636140923368,0.02263614092336752,169.97736385907663,-10.022636140923396,169.97736385907663,170.0,-0.02263614092336421,180.0,224.97671508789062,224.97671508789062,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,170.00244726463208,9.997552735367918,0.0024472646320816693,10.0,169.97736385907663,10.022636140923368,169.97736385907663,10.022636140923368,raw,0.02263614092336752,0.02263614092336752,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,170.00244726463208,9.997552735367918,0.0024472646320816693,9.997552735367918,0.0024472646320816693,335.5519714355469,0.0,46.8321042950256,0.9996670598472885,19.02914282700502,0.8350112525757935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,477.947399020195
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,15.0,15.0,15.013255013237625,15.013255013237625,0.013255013237625235,164.98674498676237,-15.013255013237625,164.98674498676237,165.0,-0.01325501323761598,180.0,197.43409729003906,197.43409729003906,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,164.98684048719585,15.013159512804151,0.013159512804151063,15.0,164.98674498676237,15.013255013237625,164.98674498676237,15.013255013237625,raw,0.013255013237625235,0.013255013237625235,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,164.98684048719585,15.013159512804151,0.013159512804151063,15.013159512804151,0.013159512804151063,337.4054870605469,0.0,46.8321042950256,0.9996670598472885,17.532390933684894,0.7807436158133219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,388.4634990245104
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,30.0,30.0,29.95709970818848,29.95709970818848,0.04290029181152022,150.04290029181152,-29.95709970818848,150.04290029181152,150.0,0.04290029181153177,180.0,200.5467987060547,200.5467987060547,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,150.002008694208,29.997991305792,0.002008694208001316,30.0,150.04290029181152,29.95709970818848,150.04290029181152,29.95709970818848,raw,0.04290029181152022,0.04290029181152022,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,150.002008694208,29.997991305792,0.002008694208001316,29.997991305792,0.002008694208001316,336.5066223144531,0.0,46.8321042950256,0.9996670598472885,15.382279407450177,0.6766794661459087,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,349.200589582324
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,45.0,45.0,45.015486434658214,45.015486434658214,0.01548643465821442,134.98451356534179,-45.015486434658214,134.98451356534179,135.0,-0.015486434658206904,180.0,219.55914306640625,219.55914306640625,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,134.99175973199485,45.00824026800515,0.008240268005152984,45.0,134.98451356534179,45.015486434658214,134.98451356534179,45.015486434658214,raw,0.01548643465821442,0.01548643465821442,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,134.99175973199485,45.00824026800515,0.008240268005152984,45.00824026800515,0.008240268005152984,345.18927001953125,0.0,46.8321042950256,0.9996670598472885,14.899156174504178,0.6466635298910544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,279.8183597624302
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,60.0,60.0,60.00542335317394,60.00542335317394,0.005423353173938494,119.99457664682606,-60.00542335317394,119.99457664682606,120.0,-0.005423353173936991,180.0,213.8334503173828,213.8334503173828,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,120.00396028423185,59.99603971576815,0.003960284231851574,60.0,119.99457664682606,60.00542335317394,119.99457664682606,60.00542335317394,raw,0.005423353173938494,0.005423353173938494,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,120.00396028423185,59.99603971576815,0.003960284231851574,59.99603971576815,0.003960284231851574,335.1111145019531,0.0,46.8321042950256,0.9996670598472885,15.42512890740088,0.677467225714495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,272.07845263183117
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,75.0,75.0,75.03179986450752,75.03179986450752,0.03179986450751926,104.96820013549248,-75.03179986450752,104.96820013549248,105.0,-0.03179986450753681,180.0,184.9073028564453,184.9073028564453,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,104.99643629152217,75.00356370847783,0.0035637084778272765,75.0,104.96820013549248,75.03179986450752,104.96820013549248,75.03179986450752,raw,0.03179986450751926,0.03179986450751926,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,104.99643629152217,75.00356370847783,0.0035637084778272765,75.00356370847783,0.0035637084778272765,336.0625,0.0,46.8321042950256,0.9996670598472885,17.474838397868783,0.7768790263419264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,268.3133855462074
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,90.0,90.0,89.9951850464047,89.99518504640469,0.004814953595300153,90.0048149535953,-89.99518504640469,90.0048149535953,90.0,0.004814953595282543,180.0,308.923095703125,308.923095703125,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,90.00005857968895,89.99994142031105,5.857968895384147e-05,90.0,90.0048149535953,89.9951850464047,90.0048149535953,89.9951850464047,raw,0.004814953595300153,0.004814953595300153,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,90.00005857968895,89.99994142031105,5.857968895384147e-05,89.99994142031105,5.857968895384147e-05,359.52838134765625,0.0,46.8321042950256,0.9996670598472885,50.443990858052885,0.99990409485093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,283.2537554204464
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,120.0,120.0,119.9571008695145,-60.042899130485495,0.04289913048549465,60.042899130485495,60.042899130485495,60.042899130485495,60.0,0.04289913048549848,180.0,200.54647827148438,200.54647827148438,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,60.00200857385592,119.99799142614408,0.0020085738559174615,120.0,60.042899130485495,119.9571008695145,60.042899130485495,119.9571008695145,raw,0.04289913048549465,0.04289913048549465,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,60.00200857385592,119.99799142614408,0.0020085738559174615,119.99799142614408,0.0020085738559174615,336.5066223144531,0.0,46.8321042950256,0.9996670598472885,15.382278848758315,0.6766795070104198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,278.803376480937
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,150.0,150.0,150.00542424836598,-29.994575751634017,0.005424248365983431,29.994575751634027,29.99457575163403,29.994575751634027,30.0,-0.005424248365971568,180.0,213.83360290527344,213.83360290527344,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,30.00396013859824,149.99603986140175,0.0039601385982450665,150.0,29.994575751634027,150.00542424836598,29.994575751634027,150.00542424836598,raw,0.005424248365983431,0.005424248365983431,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,30.00396013859824,149.99603986140175,0.0039601385982450665,149.99603986140175,0.0039601385982450665,335.1111145019531,0.0,46.8321042950256,0.9996670598472885,15.42512890740088,0.6774672016236023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,263.38774897158146
