image_id,image_path,alpha,theta_gt,raw_theta_shift,theta_attack_hat,theta_hat_raw,theta_hat,angle_sign,angle_error,angle_error_mod180,best_score,top2_score,corr_margin,ambiguity_resolved,candidate_score_0,candidate_score_180,diff_theta_hat,diff_angle_error,diff_best_score,diff_corr_margin,diff_rot_theta_shift,diff_rot_attack_hat,diff_rot_attack_error,diff_rot_theta_hat,diff_rot_angle_error,diff_rot_best_score,diff_rot_corr_margin,psnr_anchor,ssim_anchor,psnr_clean,ssim_clean,vae_mse_anchor,vae_mse_clean,vae_mse_symmetric,vae_mse_clean_canonical,vae_mse_clean_predcorr,vae_mse_clean_oraclecorr,vae_mse_symmetric_canonical,vae_mse_symmetric_predcorr,vae_mse_symmetric_oraclecorr,vae_cos_anchor,vae_cos_clean,vae_cos_symmetric,vae_cos_clean_canonical,vae_cos_clean_predcorr,vae_cos_clean_oraclecorr,vae_cos_symmetric_canonical,vae_cos_symmetric_predcorr,vae_cos_symmetric_oraclecorr,runtime_ms
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,5.0,176.0,4.0,176.0,4.0,raw,1.0,1.0,142.40687561035156,142.40687561035156,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,175.0,5.0,0.0,5.0,0.0,246.78314208984375,0.0,43.87017429930397,0.9992877995612606,21.247250778547784,0.8698997941747159,0.716299295425415,9.04217449715361e-05,0.4361308813095093,9.04217449715361e-05,6.622794151306152,1.7401328086853027,0.4361308813095093,6.432586193084717,2.019465446472168,0.9839686112671281,0.9999979935168686,0.9903705103363062,0.9999979935168686,0.8540712742263397,0.9621488546464795,0.9903705103363062,0.8569178964533208,0.9551678551000921,3921.496668830514
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,10.0,171.0,9.0,171.0,9.0,raw,1.0,1.0,140.5899200439453,140.5899200439453,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,170.0,10.0,0.0,10.0,0.0,239.59999084472656,0.0,43.87017429930397,0.9992877995612606,20.95122035268229,0.8605470284221104,0.716299295425415,9.04217449715361e-05,0.4361308813095093,9.04217449715361e-05,7.109230041503906,3.059509754180908,0.4361308813095093,6.976415634155273,3.193904399871826,0.9839686112671281,0.9999979935168686,0.9903705103363062,0.9999979935168686,0.8431175877819862,0.9330144163914732,0.9903705103363062,0.8445317249957343,0.9287862355978935,3526.931419968605
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,15.0,166.0,14.0,166.0,14.0,raw,1.0,1.0,107.70277404785156,107.70277404785156,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,165.0,15.0,0.0,15.0,0.0,244.35659790039062,0.0,43.87017429930397,0.9992877995612606,20.513571401698215,0.8465520436425823,0.716299295425415,9.04217449715361e-05,0.4361308813095093,9.04217449715361e-05,7.79602575302124,4.0883870124816895,0.4361308813095093,7.778058052062988,4.272952079772949,0.9839686112671281,0.9999979935168686,0.9903705103363062,0.9999979935168686,0.8278699685732787,0.909887860090851,0.9903705103363062,0.8268289079223362,0.90438985300337,3372.4683932960033
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,30.0,151.0,29.0,151.0,29.0,raw,1.0,1.0,84.85582733154297,84.85582733154297,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,151.0,29.0,1.0,29.0,1.0,229.123046875,0.0,43.87017429930397,0.9992877995612606,19.47075052897582,0.8129155912961273,0.716299295425415,9.04217449715361e-05,0.4361308813095093,9.04217449715361e-05,9.611123085021973,6.2236714363098145,0.4361308813095093,9.590045928955078,6.30658483505249,0.9839686112671281,0.9999979935168686,0.9903705103363062,0.9999979935168686,0.7862998277104934,0.8619012921602894,0.9903705103363062,0.7850421556937534,0.8579565727957723,3345.499150454998
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,45.0,136.0,44.0,136.0,44.0,raw,1.0,1.0,98.7001953125,98.7001953125,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,135.0,45.0,0.0,45.0,0.0,231.95042419433594,0.0,43.87017429930397,0.9992877995612606,19.39952009747301,0.8084976342153137,0.716299295425415,9.04217449715361e-05,0.4361308813095093,9.04217449715361e-05,9.70132064819336,6.593749046325684,0.4361308813095093,9.613578796386719,6.674990653991699,0.9839686112671281,0.9999979935168686,0.9903705103363062,0.9999979935168686,0.7848915504007701,0.8549229286586706,0.9903705103363062,0.7851542365340277,0.8509723931726296,3488.847251981497
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,60.0,121.00000000000001,58.999999999999986,121.00000000000001,58.999999999999986,raw,1.0000000000000142,1.0000000000000142,105.86457824707031,105.86457824707031,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,120.0,60.0,0.0,60.0,0.0,233.80186462402344,0.0,43.87017429930397,0.9992877995612606,19.419614148764722,0.8107576576049356,0.716299295425415,9.04217449715361e-05,0.4361308813095093,9.04217449715361e-05,10.141251564025879,6.651473045349121,0.4361308813095093,10.096235275268555,6.80145263671875,0.9839686112671281,0.9999979935168686,0.9903705103363062,0.9999979935168686,0.7748930006573391,0.8524359150286808,0.9903705103363062,0.7739998083750267,0.8467757401595783,3459.201877936721
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,75.0,106.0,74.0,106.0,74.0,raw,1.0,1.0,157.3867645263672,157.3867645263672,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,106.0,74.0,1.0,74.0,1.0,244.71484375,0.0,43.87017429930397,0.9992877995612606,20.173161741017836,0.8352468102468565,0.716299295425415,9.04217449715361e-05,0.4361308813095093,9.04217449715361e-05,8.49040412902832,4.496988296508789,0.4361308813095093,8.44904613494873,4.640096664428711,0.9839686112671281,0.9999979935168686,0.9903705103363062,0.9999979935168686,0.8115026120749906,0.900757078137832,0.9903705103363062,0.8107014803366565,0.896016331871654,3399.652013555169
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,90.0,91.0,89.0,91.0,89.0,raw,1.0,1.0,175.60928344726562,175.60928344726562,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,90.0,90.0,0.0,90.0,0.0,258.5008544921875,0.0,43.87017429930397,0.9992877995612606,21.155319351514358,0.8692599304682601,0.716299295425415,9.04217449715361e-05,0.4361308813095093,9.04217449715361e-05,6.268389701843262,9.05017732293345e-05,0.4361308813095093,5.9863409996032715,0.43613100051879883,0.9839686112671281,0.9999979935168686,0.9903705103363062,0.9999979935168686,0.8607260065355411,0.9999979917430545,0.9903705103363062,0.8653082809313375,0.9903705087355215,3517.344268038869
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,120.0,61.0,119.0,61.0,119.0,raw,1.0,1.0,84.85586547851562,84.85586547851562,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,61.0,119.0,1.0,119.0,1.0,229.12330627441406,0.0,43.87017429930397,0.9992877995612606,19.47075052897582,0.8129155912961273,0.716299295425415,9.04217449715361e-05,0.4361308813095093,9.04217449715361e-05,9.611123085021973,6.2236714363098145,0.4361308813095093,9.590045928955078,6.30658483505249,0.9839686112671281,0.9999979935168686,0.9903705103363062,0.9999979935168686,0.7862998277104934,0.8619012921602894,0.9903705103363062,0.7850421556937534,0.8579565727957723,3501.3761613518
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,150.0,31.0,149.0,31.0,149.0,raw,1.0,1.0,105.86459350585938,105.86459350585938,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,30.0,150.0,0.0,150.0,0.0,233.8018035888672,0.0,43.87017429930397,0.9992877995612606,19.419614148764722,0.8107576576049356,0.716299295425415,9.04217449715361e-05,0.4361308813095093,9.04217449715361e-05,10.141251564025879,6.651473045349121,0.4361308813095093,10.096235275268555,6.80145263671875,0.9839686112671281,0.9999979935168686,0.9903705103363062,0.9999979935168686,0.7748930006573391,0.8524359150286808,0.9903705103363062,0.7739998083750267,0.8467757401595783,3359.0995986014605
