image_id,image_path,alpha,attack_rotation_backend,attack_rotation_interpolation,attack_rotation_fill,correction_rotation_backend,correction_rotation_interpolation,correction_rotation_fill,rotation_gt_deg,rotation_gt_mod180_deg,rotation_hat_deg,rotation_hat_display_deg,rotation_error_deg,corr_shift_deg,corr_shift_display_deg,corr_shift_full_deg,corr_shift_full_deg_int,peak_refine_delta,corr_period_deg,best_score,top2_score,corr_margin,ambiguity_resolved,candidate_score_0,candidate_score_180,diff_corr_shift_deg,diff_rotation_hat_deg,diff_rotation_error_deg,diff_rot_corr_shift_deg,diff_rot_rotation_hat_deg,diff_rot_rotation_error_deg,theta_gt,raw_theta_shift,theta_attack_hat,theta_hat_raw,theta_hat,angle_sign,angle_error,angle_error_mod180,diff_theta_hat,diff_angle_error,diff_best_score,diff_corr_margin,diff_rot_theta_shift,diff_rot_attack_hat,diff_rot_attack_error,diff_rot_theta_hat,diff_rot_angle_error,diff_rot_best_score,diff_rot_corr_margin,psnr_anchor,ssim_anchor,psnr_anchor_rotated,ssim_anchor_rotated,psnr_corr_anchor_vs_corr_original,ssim_corr_anchor_vs_corr_original,psnr_clean_predcorr_vs_roundtrip_pred,ssim_clean_predcorr_vs_roundtrip_pred,psnr_oraclecorr_anchor_vs_roundtrip_oracle,ssim_oraclecorr_anchor_vs_roundtrip_oracle,psnr_clean_oraclecorr_vs_roundtrip_oracle,ssim_clean_oraclecorr_vs_roundtrip_oracle,psnr_clean_canonical,ssim_clean_canonical,psnr_postattack_clean_to_original,ssim_postattack_clean_to_original,psnr_clean,ssim_clean,vae_mse_anchor,vae_mse_clean,vae_mse_symmetric,vae_mse_clean_canonical,vae_mse_clean_predcorr,vae_mse_clean_oraclecorr,vae_mse_symmetric_canonical,vae_mse_symmetric_predcorr,vae_mse_symmetric_oraclecorr,vae_mse_roundtrip_oracle,vae_mse_anchor_removed_extra,vae_raw_mse_anchor,vae_raw_mse_clean_canonical,vae_raw_mse_clean_predcorr,vae_raw_mse_clean_oraclecorr,vae_raw_mse_roundtrip_oracle,vae_rel_mse_anchor,vae_rel_mse_clean_canonical,vae_rel_mse_clean_predcorr,vae_rel_mse_clean_oraclecorr,vae_rel_mse_roundtrip_oracle,vae_rel_mse_anchor_removed_extra,vae_cos_anchor,vae_cos_clean,vae_cos_symmetric,vae_cos_clean_canonical,vae_cos_clean_predcorr,vae_cos_clean_oraclecorr,vae_cos_symmetric_canonical,vae_cos_symmetric_predcorr,vae_cos_symmetric_oraclecorr,vae_cos_roundtrip_oracle,runtime_ms
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,0.0,0.0,179.9951849942219,-0.0048150057781413125,0.0048150057781413125,0.004815005778104233,0.00481500577809868,0.004815005778104233,0.0,0.004815005778104233,180.0,308.9232482910156,308.9232482910156,0.0,False,nan,nan,179.99958153648458,0.00041846351541607874,0.00041846351541607874,5.862402258769004e-05,179.99994137597741,5.8624022585718194e-05,0.0,0.004815005778104233,179.9951849942219,0.004815005778104233,179.9951849942219,raw,0.0048150057781413125,0.0048150057781413125,0.00041846351541607874,0.00041846351541607874,359.6324462890625,0.0,5.862402258769004e-05,179.99994137597741,5.8624022585718194e-05,179.99994137597741,5.8624022585718194e-05,359.5283508300781,0.0,46.8321042950256,0.9996670598472885,46.590835743452246,0.9996480485205478,46.853935444627695,0.9996679278165544,55.423531123092815,0.9999540111401867,46.590835743452246,0.9996480485205478,58.61722470712793,0.9999779222237947,70.71893761321957,0.9999986410584252,12.254730724209537,0.057311801216792024,12.254730724209537,0.057311801216792024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3453.246919438243
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,0.0,0.0,0.008933437012899503,0.008933437012899503,0.008933437012899503,179.9910665629871,-0.008933437012899503,359.9910665629871,0.0,-0.00893343701288469,180.0,302.41937255859375,302.41937255859375,0.0,False,nan,nan,179.99936014558494,0.0006398544150556518,0.0006398544150556518,0.0006003479056474817,179.99939965209435,0.0006003479056744254,0.0,179.9910665629871,0.008933437012899503,179.9910665629871,0.008933437012899503,raw,0.008933437012899503,0.008933437012899503,0.0006398544150556518,0.0006398544150556518,359.54669189453125,0.0,0.0006003479056474817,179.99939965209435,0.0006003479056744254,179.99939965209435,0.0006003479056744254,359.3042907714844,0.0,46.70278836096354,0.9996533199012525,46.454475269836514,0.9996329359399331,46.84211095118925,0.999672854702581,52.91556368749313,0.9999268330011651,46.454475269836514,0.9996329359399331,58.615718897388014,0.9999776777493858,70.74997392203818,0.9999986359835275,50.27151177805533,0.9998880492006164,50.27151177805533,0.9998880492006164,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,394.90933157503605
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,0.0,0.0,179.9923810646697,-0.007618935330299337,0.007618935330299337,0.007618935330310594,0.007618935330313548,0.007618935330310594,0.0,0.007618935330310595,180.0,305.3232421875,305.3232421875,0.0,False,nan,nan,179.99974604219494,0.00025395780505732546,0.00025395780505732546,179.99966277711405,0.00033722288594617567,0.00033722288594617567,0.0,0.007618935330310594,179.9923810646697,0.007618935330310594,179.9923810646697,raw,0.007618935330299337,0.007618935330299337,0.00025395780505732546,0.00025395780505732546,359.66082763671875,0.0,179.99966277711405,0.00033722288594617567,0.00033722288594617567,0.00033722288594617567,0.00033722288594617567,359.4010925292969,0.0,46.43056928161171,0.9996379891069832,46.19743815307248,0.9996180394852345,46.58160710518292,0.999660277475762,52.885921524245305,0.9999291528617141,46.19743815307248,0.9996180394852345,58.66749823648053,0.9999783669664876,71.2438193877672,0.9999988061701991,12.273421680223162,0.1381698048768002,12.273421680223162,0.1381698048768002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,422.06996306777
orientation_batch_03,datasets/synthetic_orientation_512/orientation_batch_03.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,0.0,0.0,179.9821094290258,-0.017890570974202546,0.017890570974202546,0.017890570974199726,0.017890570974202546,0.017890570974199726,0.0,0.017890570974199726,180.0,313.8235778808594,313.8235778808594,0.0,False,nan,nan,179.99873610562844,0.0012638943715614914,0.0012638943715614914,179.9978521205403,0.0021478794596987427,0.0021478794596987427,0.0,0.017890570974199726,179.9821094290258,0.017890570974199726,179.9821094290258,raw,0.017890570974202546,0.017890570974202546,0.0012638943715614914,0.0012638943715614914,359.6415100097656,0.0,179.9978521205403,0.0021478794596987427,0.0021478794596987427,0.0021478794596987427,0.0021478794596987427,359.47412109375,0.0,47.005513439433045,0.9996786181624241,46.747571444060405,0.9996589645607766,47.113227586857775,0.9996967097733732,53.011502577933896,0.9999313304885264,46.747571444060405,0.9996589645607766,58.61636833498321,0.9999778172127266,70.70593109629658,0.9999986302206197,11.446560295375916,-0.10631643969524585,11.446560295375916,-0.10631643969524585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,398.33869598805904
orientation_batch_04,datasets/synthetic_orientation_512/orientation_batch_04.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,0.0,0.0,0.006273361135868072,0.006273361135868072,0.006273361135868072,179.99372663886413,-0.006273361135868072,359.99372663886413,0.0,-0.006273361135882552,180.0,310.0788879394531,310.0788879394531,0.0,False,nan,nan,179.9989621355897,0.0010378644103070656,0.0010378644103070656,179.9981374520741,0.0018625479258957967,0.0018625479258957967,0.0,179.99372663886413,0.006273361135868072,179.99372663886413,0.006273361135868072,raw,0.006273361135868072,0.006273361135868072,0.0010378644103070656,0.0010378644103070656,359.5789489746094,0.0,179.9981374520741,0.0018625479258957967,0.0018625479258957967,0.0018625479258957967,0.0018625479258957967,359.3883972167969,0.0,46.52456543054004,0.9995836162301189,46.29089308615815,0.9995606111125891,46.56254218578198,0.9995859315160208,55.42971451817693,0.9999465329035543,46.29089308615815,0.9995606111125891,58.644393650717106,0.9999744348442675,71.08556329861017,0.999998545135066,50.15753207140021,0.9998805133166551,50.15753207140021,0.9998805133166551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,395.33831737935543
orientation_batch_05,datasets/synthetic_orientation_512/orientation_batch_05.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,0.0,0.0,179.99531916764855,-0.004680832351482422,0.004680832351482422,0.004680832351466591,0.0046808323514682115,0.004680832351466591,0.0,0.004680832351466591,180.0,313.157958984375,313.157958984375,0.0,False,nan,nan,179.99930306058258,0.0006969394174234367,0.0006969394174234367,179.9988355909623,0.001164409037698988,0.001164409037698988,0.0,0.004680832351466591,179.99531916764855,0.004680832351466591,179.99531916764855,raw,0.004680832351482422,0.004680832351482422,0.0006969394174234367,0.0006969394174234367,359.64508056640625,0.0,179.9988355909623,0.001164409037698988,0.001164409037698988,0.001164409037698988,0.001164409037698988,359.36212158203125,0.0,46.55840116333623,0.9996433147956859,46.31950452314257,0.9996231514600108,46.69694415937093,0.9996658606438817,52.82758233046012,0.9999278960260364,46.31950452314257,0.9996231514600108,58.630742184974125,0.9999778607624341,71.18994969605777,0.9999987741364679,11.65896440460125,-0.06117549248422616,11.65896440460125,-0.06117549248422616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,335.3482112288475
orientation_batch_06,datasets/synthetic_orientation_512/orientation_batch_06.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,0.0,0.0,179.9997590044879,-0.00024099551205836178,0.00024099551205836178,0.00024099551209310404,0.0002409955120867835,0.00024099551209310404,0.0,0.00024099551209310404,180.0,304.06488037109375,304.06488037109375,0.0,False,nan,nan,179.999821745276,0.0001782547240054555,0.0001782547240054555,179.99914318703537,0.0008568129646278067,0.0008568129646278067,0.0,0.00024099551209310404,179.9997590044879,0.00024099551209310404,179.9997590044879,raw,0.00024099551205836178,0.00024099551205836178,0.0001782547240054555,0.0001782547240054555,359.6444396972656,0.0,179.99914318703537,0.0008568129646278067,0.0008568129646278067,0.0008568129646278067,0.0008568129646278067,359.3725280761719,0.0,46.8243425303135,0.9996827719395434,46.57480805677109,0.9996640247116867,46.95919905896447,0.9997039404612306,52.743032782795886,0.9999304376377478,46.57480805677109,0.9996640247116867,58.558789831333264,0.9999787177125405,70.08800843144753,0.9999985049871497,12.025711428420458,0.12169297181793907,12.025711428420458,0.12169297181793907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,324.0312747657299
orientation_batch_07,datasets/synthetic_orientation_512/orientation_batch_07.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,0.0,0.0,179.99722399308885,-0.0027760069111764096,0.0027760069111764096,0.0027760069111364893,0.002776006911133777,0.0027760069111364893,0.0,0.0027760069111364897,180.0,308.1792297363281,308.1792297363281,0.0,False,nan,nan,179.99978395664948,0.00021604335051961243,0.00021604335051961243,179.99993086174265,6.913825734500278e-05,6.913825734500278e-05,0.0,0.0027760069111364893,179.99722399308885,0.0027760069111364893,179.99722399308885,raw,0.0027760069111764096,0.0027760069111764096,0.00021604335051961243,0.00021604335051961243,359.6026916503906,0.0,179.99993086174265,6.913825734500278e-05,6.913825734500278e-05,6.913825734500278e-05,6.913825734500278e-05,359.3263244628906,0.0,46.191954805807256,0.9996234428319873,45.97669990407553,0.9996043121156547,46.38243338312866,0.9996503421456944,52.7211822421578,0.9999272012130868,45.97669990407553,0.9996043121156547,58.646504837333744,0.9999785960331549,71.36469197178222,0.9999988571537699,11.411381822297377,-0.06316248419972001,11.411381822297377,-0.06316248419972001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,317.14820861816406
orientation_batch_08,datasets/synthetic_orientation_512/orientation_batch_08.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,0.0,0.0,179.9922749978792,-0.007725002120764657,0.007725002120764657,0.007725002120779017,0.007725002120778868,0.007725002120779017,0.0,0.007725002120779017,180.0,303.404541015625,303.404541015625,0.0,False,nan,nan,179.99913648802084,0.0008635119791620127,0.0008635119791620127,179.9998625343731,0.0001374656268922081,0.0001374656268922081,0.0,0.007725002120779017,179.9922749978792,0.007725002120779017,179.9922749978792,raw,0.007725002120764657,0.007725002120764657,0.0008635119791620127,0.0008635119791620127,359.6051025390625,0.0,179.9998625343731,0.0001374656268922081,0.0001374656268922081,0.0001374656268922081,0.0001374656268922081,359.4002685546875,0.0,46.41821595037706,0.9996367376764356,46.190787064131555,0.9996172159580597,46.47412844510157,0.9996401385014982,55.35813663061738,0.9999536529212468,46.190787064131555,0.9996172159580597,58.6027991738009,0.9999780292948851,70.49296663227891,0.9999985806364723,12.168662502287768,0.042411452565244034,12.168662502287768,0.042411452565244034,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,315.17705135047436
orientation_batch_09,datasets/synthetic_orientation_512/orientation_batch_09.png,0.15,torchvision,nearest,0.0,torchvision,bilinear,0.0,0.0,0.0,179.98868473048887,-0.011315269511101178,0.011315269511101178,0.011315269511115422,0.011315269511115389,0.011315269511115422,0.0,0.011315269511115422,180.0,301.1198425292969,301.1198425292969,0.0,False,nan,nan,179.99927608814113,0.0007239118588699966,0.0007239118588699966,179.99863760014625,0.0013623998537468651,0.0013623998537468651,0.0,0.011315269511115422,179.98868473048887,0.011315269511115422,179.98868473048887,raw,0.011315269511101178,0.011315269511101178,0.0007239118588699966,0.0007239118588699966,359.51800537109375,0.0,179.99863760014625,0.0013623998537468651,0.0013623998537468651,0.0013623998537468651,0.0013623998537468651,359.3157043457031,0.0,46.49562612947254,0.9996980477305728,46.25746180725619,0.9996810335786032,46.6612546062085,0.9997185948908557,52.830267114683956,0.9999395565342356,46.25746180725619,0.9996810335786032,58.597987228805906,0.9999813887710944,70.42972510903486,0.9999987814199454,11.555226940468064,0.10714139479046676,11.555226940468064,0.10714139479046676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,327.1248396486044
