method,alpha,mean_angle_error,failure_rate_error_gt_1deg,failure_rate_error_gt_3deg,median_psnr_anchor,median_ssim_anchor,median_psnr_clean
multi_ringpair,0.08,28.1,0.7490909090909091,0.7472727272727273,53.64328731005112,0.9999259248966708,14.72040258576381
two_pair,0.08,31.098181818181818,0.8181818181818182,0.8181818181818182,49.12780195726805,0.9997870411352965,12.992309719930198
multi_ringpair,0.1,26.312727272727273,0.6945454545454546,0.6927272727272727,51.7051658810821,0.9998842615768516,14.898299329697748
two_pair,0.1,35.50727272727273,0.8181818181818182,0.8181818181818182,47.189691966050084,0.9996673074573523,12.815518678296243
multi_ringpair,0.12,23.29090909090909,0.6218181818181818,0.6181818181818182,50.121681514219844,0.9998333440556517,15.678515754664298
two_pair,0.12,37.485454545454544,0.8181818181818182,0.8181818181818182,45.60616736053472,0.9995210148267238,12.719381397386824
multi_ringpair,0.15,15.098181818181818,0.4527272727272727,0.44363636363636366,48.18364980417545,0.9997396253201156,20.26375591779636
two_pair,0.15,38.167272727272724,0.8181818181818182,0.8181818181818182,43.668173786282665,0.9992518467865377,12.693991447167875
multi_ringpair,0.18,8.074545454545454,0.2672727272727273,0.24,46.60017766941465,0.9996251007023345,21.533871118987516
two_pair,0.18,38.167272727272724,0.8181818181818182,0.8181818181818182,42.08471958960675,0.9989231075612643,12.690828301413482
multi_ringpair,0.2,4.2727272727272725,0.17454545454545456,0.14181818181818182,45.685106546394536,0.9995372009271577,21.803344675854525
two_pair,0.2,38.18,0.8181818181818182,0.8181818181818182,41.169667426032184,0.9986709175727784,12.688323900355376
