image_id,image_path,alpha,method,key,height,width,gs_state_path,gs_seed,gs_prompt,pixel_mse_anchor,pixel_mse_clean,psnr_anchor,ssim_anchor,psnr_clean,ssim_clean,vae_mse_anchor,vae_mse_clean,vae_raw_mse_anchor,vae_raw_mse_clean,vae_rel_mse_anchor,vae_rel_mse_clean,vae_cos_anchor,vae_cos_clean,zt_mse_anchor,zt_mse_clean,zt_rel_mse_anchor,zt_rel_mse_clean,zt_cos_anchor,zt_cos_clean,amp_vae_anchor,amp_vae_clean,amp_zt_anchor,amp_zt_clean,amp_total_anchor,amp_total_clean,detector_score_base,detector_score_anchor,detector_score_clean,detector_score_delta_anchor,detector_score_delta_clean,detector_success_base,detector_success_anchor,detector_success_clean,detector_threshold,score_higher_is_better,bit_accuracy_base,bit_accuracy_anchor,bit_accuracy_clean,identification_accuracy_base,identification_accuracy_anchor,identification_accuracy_clean,runtime_ms
000000,datasets/gaussian_shading_sd15_512_smoke10/images/000000.png,0.15,two_pair,0,512,512,datasets/gaussian_shading_sd15_512_smoke10/states/000000_watermark_state.pt,0.0,a high quality photo of a cat,4.788756268681027e-05,1.4250532558435225e-06,43.19777266498963,0.9997129901661751,58.46168905278774,0.9999918046097146,0.01670922338962555,0.0012935983249917626,0.5036141276359558,0.03898891061544418,0.02027129044368888,0.0015693672142571742,0.9898126691860454,0.9992151374561693,0.14203649759292603,0.008373045362532139,0.14870463162284156,0.00876613157390819,0.9258274312129171,0.9956186224594697,348.92615333086553,907.7537361734006,8.50048468875061,6.472677951336076,2966.041424071179,5875.597597914572,1.0,1.0,1.0,0.0,0.0,True,True,True,0.6484375,True,1.0,1.0,1.0,1.0,1.0,1.0,5003.339797258377
000001,datasets/gaussian_shading_sd15_512_smoke10/images/000001.png,0.15,two_pair,0,512,512,datasets/gaussian_shading_sd15_512_smoke10/states/000001_watermark_state.pt,1.0,a high quality photo of a cat,1.2575485015986487e-05,4.020078936406435e-09,49.00475255917801,0.9999167060669172,83.95765419226683,0.999999972910614,0.009464822709560394,6.25345478511008e-07,0.2852686941623688,1.884783705463633e-05,0.011277313827771671,7.450976556405284e-07,0.9943465030762904,0.9999996288142284,0.06745228916406631,9.446444892091677e-06,0.0688412502948129,9.640963787468838e-06,0.9655119718247089,0.9999951811642677,752.6407088782345,155.5168372471364,7.1266299672793965,15.105937614911172,5363.791831052742,2349.2313982111955,1.0,1.0,1.0,0.0,0.0,True,True,True,0.6484375,True,1.0,1.0,1.0,1.0,1.0,1.0,4600.269686430693
000002,datasets/gaussian_shading_sd15_512_smoke10/images/000002.png,0.15,two_pair,0,512,512,datasets/gaussian_shading_sd15_512_smoke10/states/000002_watermark_state.pt,2.0,a high quality photo of a cat,5.99502845943789e-06,1.5784321760747844e-07,52.222087508891526,0.9999626213881138,68.01774074645564,0.9999991934562974,0.009724454954266548,0.0010986749548465014,0.2930939793586731,0.03311393782496452,0.011213495324079819,0.0012669076597912078,0.9943891825846591,0.9993663457441649,0.06795749068260193,0.0122733348980546,0.07031307189926193,0.012698760217047973,0.9648851572311105,0.9936533603415524,1622.0862666416886,6960.501762431668,6.98830844455685,11.171033646251,11335.639156137491,77755.99945368608,1.0,1.0,1.0,0.0,0.0,True,True,True,0.6484375,True,1.0,1.0,1.0,1.0,1.0,1.0,5566.011622548103
000003,datasets/gaussian_shading_sd15_512_smoke10/images/000003.png,0.15,two_pair,0,512,512,datasets/gaussian_shading_sd15_512_smoke10/states/000003_watermark_state.pt,3.0,a high quality photo of a cat,3.165580710629001e-05,4.811038820662361e-07,44.995466090943495,0.9997964034722333,63.17761138725907,0.9999970704254526,0.026876315474510193,5.701596091967076e-05,0.8100491166114807,0.0017184545285999775,0.03980922268539247,8.445209266223547e-05,0.9799560988149714,0.9999577766478208,0.2593858540058136,0.0003571367124095559,0.2741293355893535,0.00037743634888124365,0.8639479408389035,0.9998112661530776,849.0168813340091,118.51046007847637,9.651094259634176,6.263802282468239,8193.941950080041,742.3261033555405,1.0,1.0,1.0,0.0,0.0,True,True,True,0.6484375,True,1.0,1.0,1.0,1.0,1.0,1.0,4570.873610675335
000004,datasets/gaussian_shading_sd15_512_smoke10/images/000004.png,0.15,two_pair,0,512,512,datasets/gaussian_shading_sd15_512_smoke10/states/000004_watermark_state.pt,4.0,a high quality photo of a cat,1.341129609500058e-05,1.4527110181461467e-07,48.725292490159156,0.9999281843000952,68.37820769533081,0.9999993298569363,0.010556142777204514,0.0001429487601853907,0.3181609511375427,0.0043084584176540375,0.013724952825531973,0.00018586002779817835,0.9931637862011456,0.9999072088454187,0.08841454237699509,0.001099417102523148,0.09195812106474768,0.0011434807928246819,0.9540400607447151,0.9994282827712365,787.1082642065695,984.0069662364434,8.375648590084099,7.690987269888338,6592.542223969818,7567.985103747872,1.0,1.0,1.0,0.0,0.0,True,True,True,0.6484375,True,1.0,1.0,1.0,1.0,1.0,1.0,4716.3353227078915
000005,datasets/gaussian_shading_sd15_512_smoke10/images/000005.png,0.15,two_pair,0,512,512,datasets/gaussian_shading_sd15_512_smoke10/states/000005_watermark_state.pt,5.0,a high quality photo of a cat,6.585210485354764e-06,8.414192363963725e-15,51.814303389759786,0.9999369261001151,inf,0.9999999999999195,0.002503717318177223,5.5204431248512265e-08,0.07546175271272659,1.6638548459013691e-06,0.003691855378221284,8.140167219630218e-08,0.9981523658921662,0.9999999594302427,0.03409627825021744,5.64484616916161e-06,0.036382154993470736,6.023286962102015e-06,0.9817848170118788,0.9999969884074832,380.20302366072616,54743.80633130509,13.618261929594443,102.25164520046627,5177.704364703569,5597745.660370708,1.0,1.0,1.0,0.0,0.0,True,True,True,0.6484375,True,1.0,1.0,1.0,1.0,1.0,1.0,4569.123476743698
000006,datasets/gaussian_shading_sd15_512_smoke10/images/000006.png,0.15,two_pair,0,512,512,datasets/gaussian_shading_sd15_512_smoke10/states/000006_watermark_state.pt,6.0,a high quality photo of a cat,3.976311199949123e-05,3.797868259880488e-07,44.00519633547414,0.9995634845312638,64.20460104106441,0.9999960461639797,0.03284004330635071,0.0006122689228504896,0.9897951483726501,0.01845371723175049,0.03709902110850652,0.0006916731954650087,0.9813171606910469,0.9996546119689443,0.384569376707077,0.0015549634117633104,0.40939466982598777,0.0016553417175367542,0.7975039411685857,0.9991726222504519,825.8921605753276,1612.1341468953683,11.710379706502929,2.5396739099288634,9671.510797255678,4094.2950388626787,1.0,1.0,1.0,0.0,0.0,True,True,True,0.6484375,True,1.0,1.0,1.0,1.0,1.0,1.0,4647.646050900221
000007,datasets/gaussian_shading_sd15_512_smoke10/images/000007.png,0.15,two_pair,0,512,512,datasets/gaussian_shading_sd15_512_smoke10/states/000007_watermark_state.pt,7.0,a high quality photo of a cat,6.262656097533181e-05,5.558188718168822e-07,42.032414361422745,0.9995599257250743,62.55066711630624,0.9999961452411501,0.01871798187494278,0.00015571797848679125,0.5641578435897827,0.004693321883678436,0.023751150741254484,0.00019758974043640096,0.9880531392474942,0.9999012791271638,0.13722528517246246,0.0014846670674160123,0.1427359252557833,0.0015442877549722944,0.92872445465737,0.9992279932307974,298.88247549523265,280.1590701998027,7.331200878489512,9.534332980103617,2191.167467032832,2671.1298798347816,1.0,1.0,1.0,0.0,0.0,True,True,True,0.6484375,True,1.0,1.0,1.0,1.0,1.0,1.0,4429.710250347853
000008,datasets/gaussian_shading_sd15_512_smoke10/images/000008.png,0.15,two_pair,0,512,512,datasets/gaussian_shading_sd15_512_smoke10/states/000008_watermark_state.pt,8.0,a high quality photo of a cat,1.8244327293359675e-05,6.598943400604185e-07,47.38872145353206,0.9998881762491408,61.80525596582672,0.9999960257579158,0.01956409215927124,0.0053122080862522125,0.5896594524383545,0.16010934114456177,0.023671982599462005,0.006427617308216969,0.9881157107341088,0.996781625481387,0.13689616322517395,0.029450837522745132,0.1439913244206198,0.030977238516329268,0.9282159707117992,0.9845448476472294,1072.3383094565293,8050.076676955832,6.99731743766617,5.543991695923727,7503.491552221168,44629.558256993725,1.0,1.0,1.0,0.0,0.0,True,True,True,0.6484375,True,1.0,1.0,1.0,1.0,1.0,1.0,4629.9214623868465
000009,datasets/gaussian_shading_sd15_512_smoke10/images/000009.png,0.15,two_pair,0,512,512,datasets/gaussian_shading_sd15_512_smoke10/states/000009_watermark_state.pt,9.0,a high quality photo of a cat,3.2843385270098224e-05,7.721612149680368e-08,44.83552085159432,0.9997040067989328,71.12292016423947,0.9999992994786991,0.01690574735403061,1.9877215891028754e-05,0.5095372796058655,0.000599097169470042,0.023770385292385402,2.794842903866241e-05,0.9880491763481563,0.9999860410771974,0.17241732776165009,0.00028422442846931517,0.18562722862913508,0.00030600052587750356,0.9077926553688831,0.9998469997777972,514.7382555197177,257.4197989477185,10.198740353844471,14.299005239390182,5249.681818546977,3680.8472390553998,1.0,1.0,1.0,0.0,0.0,True,True,True,0.6484375,True,1.0,1.0,1.0,1.0,1.0,1.0,4589.455585926771
