image_id,image_path,prompt,seed,alpha,method,key,height,width,pixel_mse_anchor,pixel_mse_clean,psnr_anchor,psnr_clean,ssim_anchor,ssim_clean,lpips_anchor,lpips_clean,clip_score_baseline,clip_score_anchor,clip_score_clean,clip_score_delta_anchor,clip_score_delta_clean
000000,datasets/gaussian_shading_sd15_512_smoke10/images/000000.png,a high quality photo of a cat,0,0.15,two_pair,0,512,512,4.788756268681027e-05,1.4250532558435225e-06,43.19777266498963,58.46168905278774,0.9997129901661751,0.9999918046097146,nan,nan,0.24144530296325684,0.223736971616745,0.24156317114830017,-0.01770833134651184,0.00011786818504333496
000001,datasets/gaussian_shading_sd15_512_smoke10/images/000001.png,a high quality photo of a cat,1,0.15,two_pair,0,512,512,1.2575485015986487e-05,4.020078936406435e-09,49.00475255917801,83.95765419226683,0.9999167060669172,0.999999972910614,nan,nan,0.2742176949977875,0.2686446011066437,0.274209201335907,-0.005573093891143799,-8.493661880493164e-06
000002,datasets/gaussian_shading_sd15_512_smoke10/images/000002.png,a high quality photo of a cat,2,0.15,two_pair,0,512,512,5.99502845943789e-06,1.5784321760747844e-07,52.222087508891526,68.01774074645564,0.9999626213881138,0.9999991934562974,nan,nan,0.195049449801445,0.19847707450389862,0.19494199752807617,0.0034276247024536133,-0.00010745227336883545
000003,datasets/gaussian_shading_sd15_512_smoke10/images/000003.png,a high quality photo of a cat,3,0.15,two_pair,0,512,512,3.165580710629001e-05,4.811038820662361e-07,44.995466090943495,63.17761138725907,0.9997964034722333,0.9999970704254526,nan,nan,0.2530825138092041,0.2547723054885864,0.2535979747772217,0.0016897916793823242,0.0005154609680175781
000004,datasets/gaussian_shading_sd15_512_smoke10/images/000004.png,a high quality photo of a cat,4,0.15,two_pair,0,512,512,1.341129609500058e-05,1.4527110181461467e-07,48.725292490159156,68.37820769533081,0.9999281843000952,0.9999993298569363,nan,nan,0.24108895659446716,0.24272136390209198,0.24105969071388245,0.001632407307624817,-2.9265880584716797e-05
000005,datasets/gaussian_shading_sd15_512_smoke10/images/000005.png,a high quality photo of a cat,5,0.15,two_pair,0,512,512,6.585210485354764e-06,8.414192363963725e-15,51.814303389759786,inf,0.9999369261001151,0.9999999999999195,nan,nan,0.2385440170764923,0.2381320595741272,0.2385440170764923,-0.0004119575023651123,0.0
000006,datasets/gaussian_shading_sd15_512_smoke10/images/000006.png,a high quality photo of a cat,6,0.15,two_pair,0,512,512,3.976311199949123e-05,3.797868259880488e-07,44.00519633547414,64.20460104106441,0.9995634845312638,0.9999960461639797,nan,nan,0.2642461061477661,0.27526387572288513,0.26436084508895874,0.011017769575119019,0.00011473894119262695
000007,datasets/gaussian_shading_sd15_512_smoke10/images/000007.png,a high quality photo of a cat,7,0.15,two_pair,0,512,512,6.262656097533181e-05,5.558188718168822e-07,42.032414361422745,62.55066711630624,0.9995599257250743,0.9999961452411501,nan,nan,0.17166224122047424,0.1779710054397583,0.17316704988479614,0.006308764219284058,0.0015048086643218994
000008,datasets/gaussian_shading_sd15_512_smoke10/images/000008.png,a high quality photo of a cat,8,0.15,two_pair,0,512,512,1.8244327293359675e-05,6.598943400604185e-07,47.38872145353206,61.80525596582672,0.9998881762491408,0.9999960257579158,nan,nan,0.2466832399368286,0.2569093704223633,0.24921008944511414,0.010226130485534668,0.0025268495082855225
000009,datasets/gaussian_shading_sd15_512_smoke10/images/000009.png,a high quality photo of a cat,9,0.15,two_pair,0,512,512,3.2843385270098224e-05,7.721612149680368e-08,44.83552085159432,71.12292016423947,0.9997040067989328,0.9999992994786991,nan,nan,0.26224344968795776,0.26138073205947876,0.2622414827346802,-0.0008627176284790039,-1.9669532775878906e-06
